작업순서,content_id,언어,기존_slug,대분류,주제_클러스터,역할,상위_HUB,slug_판단,통합_분리_판단,제목
"1 / 454","2451","EN","dog_diabetes_diet_insulin-en","건강·질병","강아지 당뇨·대사","핵심 하부","상위 HUB 미확정","유지 권장","단독 유지 / KO·JA 대응 세트","Canine Diabetes Management: 5 Things to Know About Insulin, Glucose Curves, Meals, and Hypoglycemia"
"2 / 454","2370","KO","dog_diabetes_diet_insulin","건강·질병","강아지 당뇨·대사","핵심 하부","상위 HUB 미확정","유지 권장","단독 유지 / EN·JA 대응 세트","강아지 당뇨병 관리 5가지: 인슐린, 혈당곡선, 식사와 저혈당 증상"
"3 / 454","2457","JA","dog_diabetes_diet_insulin-ja","건강·질병","강아지 당뇨·대사","핵심 하부","상위 HUB 미확정","유지 권장","단독 유지 / KO·EN 대응 세트","犬の糖尿病管理で知っておきたい5つのこと：インスリン・血糖曲線・食事・低血糖サイン"
"4 / 454","5950","KO","dog-skin-disease-symptoms-treatment","건강·질병","피부·피모·알레르기","HUB 후보","해당 글이 클러스터 대표 HUB 후보","유지 권장","단독 유지 / EN·JA 대응 세트","강아지 피부병, 먼저 확인할 7가지 신호: 가려움·비듬·붉은 피부부터 병원 가야 할 때까지"
"5 / 454","5959","EN","dog-skin-disease-symptoms-treatment-en","건강·질병","피부·피모·알레르기","HUB 후보","해당 글이 클러스터 대표 HUB 후보","유지 권장","단독 유지 / KO·JA 대응 세트","7 Dog Skin Disease Signs to Check First: Itching, Dandruff, Red Skin, Hair Loss, and When to See a Vet"
"6 / 454","5961","JA","dog-skin-disease-symptoms-treatment-ja","건강·질병","피부·피모·알레르기","HUB 후보","해당 글이 클러스터 대표 HUB 후보","유지 권장","단독 유지 / KO·EN 대응 세트","犬の皮膚病でまず確認したい7つのサイン：かゆみ・フケ・赤み・脱毛と受診の目安"
"7 / 454","2391","KO","pet_food_laws_nfe_calculator","푸드·영양","사료·영양성분·계산","HUB 후보","해당 글이 클러스터 대표 HUB 후보","유지 권장","KO·EN·JA 3개 언어 대응 세트 유지","반려동물 사료 영양성분표 읽는 법 7가지: 탄수화물·NFE·건물기준(DM)까지"
"8 / 454","2459","EN","pet_food_laws_nfe_calculators-en","푸드·영양","사료·영양성분·계산","HUB 후보","해당 글이 클러스터 대표 HUB 후보","유지 권장","KO·EN·JA 3개 언어 대응 세트 유지 / plural slug는 현 단계 유지","7 Things to Know When Reading a Pet Food Label: Carbohydrates, NFE, and Dry Matter Explained"
"9 / 454","2402","EN","pet_food_laws_nfe_calculator-en","건강·질병","고양이 요로·화장실","HUB 후보","고양이 요로결석 대표글 후보","변경 + 301 필요 → cat_struvite_oxalate_stones-en (리디렉션 진행 반영)","NFE 묶음에서 분리 / 고양이 요로결석 KO·JA 대응 세트로 관리","Feline Urinary Stones: 6 Things to Know About Struvite, Calcium Oxalate, Urine pH, Diet, and Blockage"
"10 / 454","2461","JA","pet_food_laws_nfe_calculator-ja","푸드·영양","사료·영양성분·계산","HUB 후보","해당 글이 클러스터 대표 HUB 후보","유지 권장","KO·EN·JA 3개 언어 대응 세트 유지","ペットフードの成分表示で確認したい7つのポイント：炭水化物・NFE・乾物基準（DM）まで"
